"Product URL","Product Price","Product Name","Product Rating","Number Of Reviews"
"https://aax-eu.amazon.in/x/c/RGzECSpVGTUrwvLp0IPn0fEAAAGG_46lBgMAAAH2AQBvbm9fdHhuX2JpZDMgICBOL0EgICAgICAgICAgICDnl21b/https://www.amazon.in/stores/page/7D24B90F-A5B3-40BF-908D-DFED5F5A36CB/?_encoding=UTF8&store_ref=SB_A0209379XW5D27WWAMN8&pd_rd_plhdr=t&aaxitk=2403401384d8e4755cb892bd9988175b&hsa_cr_id=0&lp_asins=B09C1VVGJ8%2CB09CTH3WSC%2CB09C1ZHVNT&lp_query=bags&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_be_s_sparkle_mcd_bkgd&pd_rd_w=jkuxx&content-id=amzn1.sym.8a1dccd3-4f75-45bf-a5e9-1ba7bf6c25a5%3Aamzn1.sym.8a1dccd3-4f75-45bf-a5e9-1ba7bf6c25a5&pf_rd_p=8a1dccd3-4f75-45bf-a5e9-1ba7bf6c25a5&pf_rd_r=QHM83TZEHACYAGRTYXPF&pd_rd_wg=jXMvb&pd_rd_r=442b6798-7f6a-4ae4-9433-43d180e151cf","₹635.00","","",""
"","","","",""
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MDY1NTcwNjM0NDcyODQ3OjE2NzkzMjQ3ODM6c3BfYXRmX25leHQ6MjAxMDU0NTE4NTE1OTg6OjA6Og&url=%2Fuppercase-Professional-Backpack-resistant-sustainable%2Fdp%2FB0BR1D4SL1%2Fref%3Dsr_1_33_sspa%3Fcrid%3D2M096C6104MLT%26gid%3D1653308124%26keywords%3Dbags%26qid%3D1679324783%26sprefix%3Dba%252Caps%25252%26sr%3D8-33-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1","₹1,800","uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","4.9 out of 5 stars","(17)"
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MDY1NTcwNjM0NDcyODQ3OjE2NzkzMjQ3ODM6c3BfYXRmX25leHQ6MjAxMTM3ODgxNzUxOTg6OjA6Og&url=%2FHEROZ-Backpack-Resistant-Durable-Notebook%2Fdp%2FB08BYQZYYC%2Fref%3Dsr_1_34_sspa%3Fcrid%3D2M096C6104MLT%26gid%3D1653308124%26keywords%3Dbags%26qid%3D1679324783%26sprefix%3Dba%252Caps%25252%26sr%3D8-34-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1","₹1,349","HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Navy Blue & Sky Blue)","4.3 out of 5 stars","(7,730)"
"https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_35?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679324783&sprefix=ba%2Caps%252&sr=8-35","₹849","Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover","3.9 out of 5 stars","(2,340)"
"https://www.amazon.in/Nivia-5183-Polyester-Duffle-Medium/dp/B071KNXQ7Y/ref=sr_1_36?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679324783&sprefix=ba%2Caps%252&sr=8-36","₹528","NIVIA Beast Gym Bag-4 Polyester/Unisex Gym Bags/Shoulder Bag for Men & Women with Separate Shoes Compartment/Carry Gym Accessories/Fitness Bag/Sports & Travel Bag/Sports Kit","4.2 out of 5 stars","(3,761)"
"https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_37?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679324783&sprefix=ba%2Caps%252&sr=8-37","₹652","Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps","4.4 out of 5 stars","(2,724)"
"https://www.amazon.in/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ/ref=sr_1_38?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679324783&sprefix=ba%2Caps%252&sr=8-38","₹499","ADISA Light Weight Laptop Backpack 32 Ltrs","4.0 out of 5 stars","(5,645)"
"https://www.amazon.in/F-Gear-Luxur-Brown-Backpack/dp/B01F7AX9ZA/ref=sr_1_39?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679324783&sprefix=ba%2Caps%252&sr=8-39","₹1,032","F Gear Luxur Brown 25 liter Laptop Backpack (2404)","4.4 out of 5 stars","(16,462)"
"https://www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B28TKLG/ref=sr_1_40?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679324783&sprefix=ba%2Caps%252&sr=8-40","₹799","Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Blue, L (QUILL19CBBLU)","4.1 out of 5 stars","(493)"
