"Product URL","Product Rating","Product Name","Number Of Reviews","Product Price"
"https://aax-eu.amazon.in/x/c/RJiWufpeDPIXoIunKZ6P5RwAAAGG_4_iPgMAAAH2AQBvbm9fdHhuX2JpZDEgICBOL0EgICAgICAgICAgICBIkWK2/https://www.amazon.in/stores/page/4C755070-F981-4F08-8522-F6C3D61206D0/?_encoding=UTF8&store_ref=SB_A03312461HYYMWN4RLRP4&pd_rd_plhdr=t&aaxitk=bbb5a11b4eecbdbe15a5b7d6142df1c8&hsa_cr_id=9902369590002&lp_asins=B07SG2HCN2%2CB01N6XGKFU%2CB074CFRDX4&lp_query=bags&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_be_s_sparkle_lsi4d_bkgd&pd_rd_w=N1Obx&content-id=amzn1.sym.8a1dccd3-4f75-45bf-a5e9-1ba7bf6c25a5%3Aamzn1.sym.8a1dccd3-4f75-45bf-a5e9-1ba7bf6c25a5&pf_rd_p=8a1dccd3-4f75-45bf-a5e9-1ba7bf6c25a5&pf_rd_r=G8RDG85BTDQCGEFRWANC&pd_rd_wg=NLRWu&pd_rd_r=846debd6-68a0-4bf7-88af-e42f2bd82ba7","4 out of 5 stars.","","",""
"","","","",""
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMjMwMjA4MDI3NDY5NzQzOjE2NzkzMjQ4NjU6c3BfYXRmX25leHQ6MjAwOTEzOTQ0MTYxOTg6OjA6Og&url=%2FAnti-Theft-Backpack-Expandable-Water-resistant-Convertible%2Fdp%2FB0B6FZ3YNV%2Fref%3Dsr_1_65_sspa%3Fcrid%3D2M096C6104MLT%26gid%3D1653308124%26keywords%3Dbags%26qid%3D1679324865%26sprefix%3Dba%252Caps%25252%26sr%3D8-65-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1","4.4 out of 5 stars","Golden Wolf Backpack 35L Expandable Travel Backpack for Men and Women Anti-theft Laptop Bag with Lock Water-resistant Convertible Backpack with USB Port Travel Business College Bag for Men,Black","(36)","₹2,564"
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMjMwMjA4MDI3NDY5NzQzOjE2NzkzMjQ4NjU6c3BfYXRmX25leHQ6MjAwOTEzOTQ0MTU3OTg6OjA6Og&url=%2FHoteon-Backpack-Anti-Theft-Earphone-Resistant%2Fdp%2FB08HM4TQZZ%2Fref%3Dsr_1_66_sspa%3Fcrid%3D2M096C6104MLT%26gid%3D1653308124%26keywords%3Dbags%26qid%3D1679324865%26sprefix%3Dba%252Caps%25252%26sr%3D8-66-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1","4.4 out of 5 stars","Golden Wolf Laptop Bag Anti-theft Backpack with Lock College School Laptop Backpack with Rain Cover Water Resistant Business Backpack with USB Port for 15.6-inch Laptop 25 L Travel Bag for Men, Dark Grey","(3,251)","₹1,946"
"https://www.amazon.in/Casual-Backpack-Charging-Laptop-Compartment/dp/B07J46KLFP/ref=sr_1_67?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679324865&sprefix=ba%2Caps%252&sr=8-67","3.9 out of 5 stars","Fur Jaden 15.6 Inch Laptop Backpack 25 LTR Bag for School, College and Office with USB Charging Port","(9,938)","₹489"
"https://www.amazon.in/Storage-Disposable-Freezer-Feeding-Transparent/dp/B099ZVTNCP/ref=sr_1_68?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679324865&sprefix=ba%2Caps%252&sr=8-68","4.4 out of 5 stars","Luv Lap Baby Breast Milk Storage Bags (Pack of 50), BPA Free Disposable Milk Freezer Bags for Breast Feeding, Transparent","(560)","₹569"
"https://www.amazon.in/Fur-Jaden-Rucksack-Backpack-BM43_Blue/dp/B07PS38XSP/ref=sr_1_69?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679324865&sprefix=ba%2Caps%252&sr=8-69","3.6 out of 5 stars","Fur Jaden Hiking Camping Rucksack Casual 10 Ltrs Blue Casual Backpack","(7,539)","₹269"
"https://www.amazon.in/BennettTM-Shoulder-Messenger-Repellent-Charcoal/dp/B09CV24TMK/ref=sr_1_70?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679324865&sprefix=ba%2Caps%252&sr=8-70","4.1 out of 5 stars","Bennett™ Mystic Unisex Adult Men's Laptop Bag 15.6 inch Side Shoulder Briefcase Satchel Messenger Business Bags for Men & Women Front Pocket for Laptop Accessories - Black (6 Month Warranty)","(5,211)","₹512"
"https://www.amazon.in/Martucci-Waterproof-Backpack-College-Business/dp/B0BNSXJ2MY/ref=sr_1_71?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679324865&sprefix=ba%2Caps%252&sr=8-71","3.6 out of 5 stars","Martucci 17 inch 35L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack(Black)","(18)","₹587"
"https://www.amazon.in/ASTRID-Womens-Round-Sling-Pompoms/dp/B08VS8JBNK/ref=sr_1_72?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679324865&sprefix=ba%2Caps%252&sr=8-72","4.4 out of 5 stars","ASTRID Women's Round Sling Bag with Pompoms (Brown)","(346)","₹474"
"https://www.amazon.in/Genie-Flamenco2-Backpack-Compatible-Resistant/dp/B08YF1XJXY/ref=sr_1_73?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679324865&sprefix=ba%2Caps%252&sr=8-73","4.4 out of 5 stars","Genie Flamenco Laptop Backpack for Women, 16 inches Office Bag, Sky Blue Stylish and Trendy Bag for Office and College","(1,025)","₹640"
"https://www.amazon.in/Half-Moon-Waterproof-Laptop-Backpack/dp/B09QM9N1B3/ref=sr_1_74?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679324865&sprefix=ba%2Caps%252&sr=8-74","3.6 out of 5 stars","Half Moon 30L Waterproof 15.6 inch Laptop Office School College Bag Backpack for Men Women Boys & Girls","(361)","₹589"
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMjMwMjA4MDI3NDY5NzQzOjE2NzkzMjQ4NjU6c3BfbXRmOjIwMTE1OTk4MDI0Mzk4OjowOjo&url=%2FAmazon-Basics-Professional-Backpack-15-inch-Laptop%2Fdp%2FB09W4WB3K5%2Fref%3Dsr_1_75_sspa%3Fcrid%3D2M096C6104MLT%26gid%3D1653308124%26keywords%3Dbags%26qid%3D1679324865%26sprefix%3Dba%252Caps%25252%26sr%3D8-75-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1","3.5 out of 5 stars","Amazon Basics - Laptop Backpack/College Bag/Travel Bag for 15.6-inch Laptop, Water-Resistant, Casual","(5)","₹1,349"
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMjMwMjA4MDI3NDY5NzQzOjE2NzkzMjQ4NjU6c3BfbXRmOjIwMTIxOTcyMjYwNTk4OjowOjo&url=%2FEUME-Propine-Massager-Backpack-Charging%2Fdp%2FB085GDV195%2Fref%3Dsr_1_76_sspa%3Fcrid%3D2M096C6104MLT%26gid%3D1653308124%26keywords%3Dbags%26qid%3D1679324865%26sprefix%3Dba%252Caps%25252%26sr%3D8-76-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1%26smid%3DAPBFC7AMQ4Q38","4.1 out of 5 stars","EUME Propine 22Ltrs Massager Laptop Backpack with Built-in Massager Technology | Fit Upto 15.6 Inch Laptop for Office & Travel | Black Color","(45)","₹3,499"
"https://www.amazon.in/POLESTAR-Navyorg-Casual-bagpack-Backpack/dp/B0844R2GMK/ref=sr_1_77?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679324865&sprefix=ba%2Caps%252&sr=8-77","4.0 out of 5 stars","POLESTAR Space 34 L Bag for College, School, Office, Casual Multipurpose Backpack with 15.6"" Laptop Compartment, Water Resistant, Unisex Design, Stylish & Durable, 1 Year Warranty","(6,125)","₹549"
