"Product URL","Product Name","Product Rating","Number Of Reviews","Product Price"
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1OTk0MDk3MTE1NzAxNzUxOjE2NzkzMjUwNDA6c3BfYXRmX25leHQ6MjAxMTQ0MTQyMjg0OTg6OjA6Og&url=%2FEUME-Alexis-Backpack-Resistance-15-6-inch%2Fdp%2FB0BN5DYQSK%2Fref%3Dsr_1_129_sspa%3Fcrid%3D2M096C6104MLT%26gid%3D1653308124%26keywords%3Dbags%26qid%3D1679325040%26sprefix%3Dba%252Caps%25252%26sr%3D8-129-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1%26smid%3DAPBFC7AMQ4Q38","EUME Alexis 31 Ltrs Laptop Backpack for Office & Travel Use for Men & Women | Water Resistance Bag | Fit Up to 15.6-inch Laptop","4.3 out of 5 stars","(116)","₹2,449"
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1OTk0MDk3MTE1NzAxNzUxOjE2NzkzMjUwNDA6c3BfYXRmX25leHQ6MjAxMTM3ODgxNzU3OTg6OjA6Og&url=%2FHEROZ-Hammer-Durable-Travel-Laptop%2Fdp%2FB07MCRFH6N%2Fref%3Dsr_1_130_sspa%3Fcrid%3D2M096C6104MLT%26gid%3D1653308124%26keywords%3Dbags%26qid%3D1679325040%26sprefix%3Dba%252Caps%25252%26sr%3D8-130-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1","HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Grey & Navy Blue)","4.3 out of 5 stars","(7,730)","₹1,349"
"https://www.amazon.in/Killer-Backpack-Compartments-Polyester-Waterproof/dp/B07CDD6YS2/ref=sr_1_131?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325040&sprefix=ba%2Caps%252&sr=8-131","KILLER Louis 38L Large Laptop Backpack With 3 Compartments Polyester Trendy Waterproof Travel Backpack","4.4 out of 5 stars","(11,117)","₹1,664"
"https://www.amazon.in/Capriff-Liters-Collage-travell-Backpack/dp/B084T7X2HX/ref=sr_1_132?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325040&sprefix=ba%2Caps%252&sr=8-132","CAPRIFF 32 L Casual Waterproof Laptop Bag/Backpack for Men Boys & Girls For Office School College Teens & Students with Rain Cover With adjustable Strap With 2 Compartment","3.8 out of 5 stars","(2,929)","₹485"
"https://www.amazon.in/Safari-Casual-Backpack-Charging-Resistant/dp/B09B2581S9/ref=sr_1_133?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325040&sprefix=ba%2Caps%252&sr=8-133","Safari Sneak Casual Backpack with USB Charging Port 26 Ltrs Water Resistant Fabric - Grey, L (SNEAK19CBGRE)","3.7 out of 5 stars","(821)","₹949"
"https://www.amazon.in/Bennett-15-6-inch-College-Repellent-Backpack/dp/B09WZKHSDR/ref=sr_1_134?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325040&sprefix=ba%2Caps%252&sr=8-134","Bennett Casual Laptop Bag school bags for boys girls 15.6-inch, 25 LTR Office & College bags for mens Water Repellent Backpack for Men & Women (GREY)","4.0 out of 5 stars","(434)","₹512"
"https://www.amazon.in/Business-Casual-Compartment-Resistant-Backpack/dp/B08N6HSJJ5/ref=sr_1_135?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325040&sprefix=ba%2Caps%252&sr=8-135","URBAN WOLF 30L Casual Dual Compartment Water Resistant Laptop Backpack Unisex Bags for Office/ Travel/ Business/ College/ School (Black)","4.0 out of 5 stars","(923)","₹719"
"https://www.amazon.in/Farraige%C2%AE-Silicone-Crossbody-Waterproof-Stationery/dp/B0B4G8W6MQ/ref=sr_1_136?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325040&sprefix=ba%2Caps%252&sr=8-136","Farraige® Cartoon Soft Silicone Bag Crossbody Shoulder Bag Purse Waterproof Anti Fall Stationery Storage Bag Handbag Sweet Birthday Gift for Children Students Girls","4.4 out of 5 stars","(25)","₹634"
"https://www.amazon.in/LOOKMUSTER-Waterproof-Backpack-College-Business/dp/B0BS6YGKMC/ref=sr_1_137?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325040&sprefix=ba%2Caps%252&sr=8-137","LOOKMUSTER Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack","5.0 out of 5 stars","(2)","₹528"
"https://www.amazon.in/Amazon-Brand-Backpack-15-6-inch-Laptops/dp/B076QFBFRG/ref=sr_1_138?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325040&sprefix=ba%2Caps%252&sr=8-138","Amazon Brand - Solimo Laptop Backpack for 15.6-inch Laptops (27 litres, Black)","3.9 out of 5 stars","(1,241)","₹429"
