"Product URL","Product Name","Product Rating","Number Of Reviews","Product Price"
"https://aax-eu.amazon.in/x/c/RJKOOV5VRlJTFzv3JMB4CSQAAAGG_15mOQMAAAH2AQBvbm9fdHhuX2JpZDMgICBOL0EgICAgICAgICAgICC93VoO/https://www.amazon.in/stores/page/5B43982B-5020-4DF1-B443-7E4B1C5FB1B1/?_encoding=UTF8&store_ref=SB_A019891131AIVAGEAFNI9&pd_rd_plhdr=t&aaxitk=fb73ffa024dce1698e95112de6310eeb&hsa_cr_id=5028487950802&lp_query=bags&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_be_s_sparkle_lsscd_bkgd&pd_rd_w=YLnjI&content-id=amzn1.sym.f2e74a72-0286-402b-ae7d-4395a990fd1f%3Aamzn1.sym.f2e74a72-0286-402b-ae7d-4395a990fd1f&pf_rd_p=f2e74a72-0286-402b-ae7d-4395a990fd1f&pf_rd_r=0SEHNPN9HD7R3A6N5E6N&pd_rd_wg=eSvM7&pd_rd_r=b5c6f101-7414-4f3a-88a4-99662ec2bf67","","","",""
"","","","",""
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNDE0Nzc0NDE1OTc4NDE2OjE2NzkzMjE2MjE6c3BfYXRmOjIwMTEyMDk2MzE3NTk4OjowOjo&url=%2Fuppercase-Professional-Anti-theft-resistant-sustainable%2Fdp%2FB0BSH4H4DB%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2M096C6104MLT%26gid%3D1653308124%26keywords%3Dbags%26qid%3D1679321621%26sprefix%3Dba%252Caps%25252%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1","uppercase Matrix Professional Anti-theft Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","4.2 out of 5 stars","(12)","₹2,300"
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNDE0Nzc0NDE1OTc4NDE2OjE2NzkzMjE2MjE6c3BfYXRmOjIwMTE3Nzk1ODc1Nzk4OjowOjo&url=%2FMOKOBARA-Backpack-Resistant-Daypack-Compartment%2Fdp%2FB0BS9W3B21%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2M096C6104MLT%26gid%3D1653308124%26keywords%3Dbags%26qid%3D1679321621%26sprefix%3Dba%252Caps%25252%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1","MOKOBARA The Zip Around Backpack | Water Resistant Laptop Daypack (14"" Laptop Compartment) Work | Travel Backpack for Men and Women","5.0 out of 5 stars","(7)","₹2,999"
"https://www.amazon.in/gp/bestsellers/luggage/ref=sr_bs_2_luggage_1","American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK)","4.1 out of 5 stars","(52,287)","₹1,199"
"https://www.amazon.in/gp/bestsellers/computers/1375464031/ref=sr_bs_3_1375464031_1","Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black)","4.3 out of 5 stars","(9,793)","₹565"
"https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=ice_ac_b_dpb?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679321621&sprefix=ba%2Caps%252&sr=8-5","Skybags Brat Black 46 Cms Casual Backpack","4.1 out of 5 stars","(3,770)","₹659"
"https://aax-eu.amazon.in/x/c/RGFNte_jxLmlNG8pQlvhbwkAAAGG_15mTwMAAAH2AQBvbm9fdHhuX2JpZDIgICBOL0EgICAgICAgICAgICCCQye5/https://www.amazon.in/dp/B01NAZVN8M?pd_rd_i=B01NAZVN8M&pf_rd_p=dd2aa9b8-d653-4b22-af5d-81cb48e44028&pf_rd_r=0SEHNPN9HD7R3A6N5E6N&pd_rd_wg=48tcQ&pd_rd_w=cPg3Z&pd_rd_r=37f6398c-c49e-4034-bcff-a65717242d4a","Sirona Sanitary Disposable Bags - 75 Bags for Discreet Disposal of Tampons, Condoms, Diaper, Sanitary Pads, Panty Liner and Personal Hygiene Waste","4.5 out of 5 stars","(2,730)","₹225"
"","","","",""
"https://www.amazon.in/Lavie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3/ref=sr_1_6?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679321621&sprefix=ba%2Caps%252&sr=8-6","Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley","3.9 out of 5 stars","(6,296)","₹949"
